Alkara,Bhajankara,Bhajankara,800,1,45.0,NaN
Alkara,Borankara,Borankara,40,6,45.0,0.0
Alkara,Borankara,Borankara,45,2,60.0,0.0
Alkara,Borankara,Borankara,50,32,45.9375,10.035220234817485
Alkara,Borankara,Borankara,55,1,45.0,NaN
Alkara,Borankara,Borankara,60,15,52.0,7.745966692414834
Alkara,Borankara,Borankara,65,2,45.0,0.0
Alkara,Borankara,Borankara,70,5,54.0,8.215838362577491
Alkara,Chhinaimuri,Chhinaimuri,50,3,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,55,4,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,60,12,46.25,4.330127018922194
Alkara,Chhinaimuri,Chhinaimuri,65,4,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,70,12,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,75,4,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,80,4,46.25,2.5
Alkara,Chhinaimuri,Chhinaimuri,90,1,45.0,NaN
Alkara,Chhinaimuri,Chhinaimuri,95,4,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,105,1,45.0,NaN
Alkara,Chhinaimuri,Chhinaimuri,120,6,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,125,1,45.0,NaN
Alkara,Chhinaimuri,Chhinaimuri,130,11,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,135,17,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,140,5,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,145,1,45.0,NaN
Alkara,Chhinaimuri,Chhinaimuri,150,8,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,155,1,45.0,NaN
Alkara,Chhinaimuri,Chhinaimuri,160,6,45.0,0.0
Alkara,Chhinaimuri,Chhinaimuri,190,1,45.0,NaN
Alkara,Damar Para,Damar Para,45,7,49.285714285714285,7.319250547113999
Alkara,Damar Para,Damar Para,50,26,50.96153846153846,16.249260338195754
Alkara,Damar Para,Damar Para,55,3,50.0,8.660254037844387
Alkara,Damar Para,Damar Para,60,28,48.214285714285715,17.224782195810825
Alkara,Damar Para,Damar Para,65,6,60.833333333333336,32.00260406071148
Alkara,Damar Para,Damar Para,70,14,45.0,0.0
Alkara,Damar Para,Damar Para,75,4,45.0,0.0
Alkara,Damar Para,Damar Para,80,6,45.0,0.0
Alkara,Damar Para,Damar Para,90,2,45.0,0.0
Alkara,Damar Para,Damar Para,95,5,45.0,0.0
Alkara,Damar Para,Damar Para,100,4,45.0,0.0
